Allele	Caucasian	Black	Asian
hla_a_01_01	0.143	0.047	0.012
hla_a_01_02	0.000	0.006	0.000
hla_a_01_03	0.000	0.001	0.000
hla_a_01_04n	0.000	0.000	0.000
hla_a_01_06	0.000	0.000	0.000
hla_a_01_07	0.000	0.000	0.000
hla_a_01_08	0.000	0.000	0.000
hla_a_01_09	0.000	0.000	0.000
hla_a_01_10	0.000	0.000	0.000
hla_a_01_11n	0.000	0.000	0.000
hla_a_01_12	0.000	0.000	0.000
hla_a_01_13	0.000	0.000	0.000
hla_a_02_01	0.283	0.114	0.097
hla_a_02_02	0.001	0.044	0.000
hla_a_02_03	0.000	0.000	0.052
hla_a_02_04	0.000	0.000	0.001
hla_a_02_05	0.008	0.023	0.001
hla_a_02_06	0.002	0.000	0.047
hla_a_02_07	0.000	0.000	0.080
hla_a_02_08	0.000	0.000	0.000
hla_a_02_09	0.000	0.000	0.000
hla_a_02_10	0.000	0.000	0.002
hla_a_02_11	0.000	0.000	0.000
hla_a_02_12	0.000	0.000	0.000
hla_a_02_13	0.000	0.000	0.000
hla_a_02_14	0.000	0.002	0.000
hla_a_02_15n	0.000	0.000	0.000
hla_a_02_16	0.000	0.000	0.000
hla_a_02_17	0.001	0.000	0.000
hla_a_02_18	0.000	0.000	0.000
hla_a_02_19	0.000	0.000	0.000
hla_a_02_20	0.000	0.000	0.000
hla_a_02_21	0.000	0.000	0.000
hla_a_02_22	0.000	0.000	0.000
hla_a_02_24	0.000	0.000	0.000
hla_a_02_25	0.000	0.000	0.000
hla_a_02_26	0.000	0.000	0.000
hla_a_02_27	0.000	0.000	0.000
hla_a_02_28	0.000	0.000	0.000
hla_a_02_29	0.000	0.000	0.000
hla_a_02_30	0.000	0.000	0.000
hla_a_02_31	0.000	0.000	0.000
hla_a_02_32n	0.000	0.000	0.000
hla_a_02_33	0.000	0.000	0.000
hla_a_02_34	0.000	0.000	0.000
hla_a_02_35	0.000	0.000	0.000
hla_a_02_36	0.000	0.000	0.000
hla_a_02_37	0.000	0.000	0.000
hla_a_02_38	0.000	0.000	0.000
hla_a_02_39	0.000	0.000	0.000
hla_a_02_40	0.000	0.000	0.000
hla_a_02_41	0.000	0.000	0.000
hla_a_02_42	0.000	0.000	0.000
hla_a_02_43n	0.000	0.000	0.000
hla_a_02_44	0.000	0.000	0.000
hla_a_02_45	0.000	0.000	0.000
hla_a_02_46	0.000	0.000	0.000
hla_a_02_47	0.000	0.000	0.000
hla_a_02_48	0.000	0.000	0.000
hla_a_02_49	0.000	0.000	0.000
hla_a_02_50	0.000	0.000	0.000
hla_a_02_51	0.000	0.000	0.000
hla_a_02_52	0.000	0.000	0.000
hla_a_02_53n	0.000	0.000	0.000
hla_a_02_54	0.000	0.000	0.000
hla_a_02_55	0.000	0.000	0.000
hla_a_02_56	0.000	0.000	0.000
hla_a_02_57	0.000	0.000	0.000
hla_a_02_58	0.000	0.000	0.000
hla_a_02_59	0.000	0.000	0.000
hla_a_02_60	0.000	0.000	0.000
hla_a_02_61	0.000	0.000	0.000
hla_a_02_62	0.000	0.000	0.000
hla_a_02_63	0.000	0.000	0.000
hla_a_02_64	0.000	0.000	0.000
hla_a_02_65	0.000	0.000	0.000
hla_a_02_66	0.000	0.000	0.000
hla_a_02_67	0.000	0.000	0.000
hla_a_02_68	0.000	0.000	0.000
hla_a_02_69	0.000	0.000	0.000
hla_a_02_70	0.000	0.000	0.000
hla_a_02_71	0.000	0.000	0.000
hla_a_02_72	0.000	0.000	0.000
hla_a_02_73	0.000	0.000	0.000
hla_a_02_74	0.000	0.000	0.000
hla_a_02_76	0.000	0.000	0.000
hla_a_02_77	0.000	0.000	0.000
hla_a_02_78	0.000	0.000	0.000
hla_a_02_90	0.000	0.000	0.000
hla_a_03_01	0.137	0.071	0.009
hla_a_03_02	0.003	0.000	0.001
hla_a_03_03n	0.000	0.000	0.000
hla_a_03_04	0.000	0.000	0.000
hla_a_03_05	0.000	0.000	0.000
hla_a_03_06	0.000	0.000	0.000
hla_a_03_07	0.000	0.000	0.000
hla_a_03_08	0.000	0.000	0.000
hla_a_03_09	0.000	0.000	0.000
hla_a_03_10	0.000	0.000	0.000
hla_a_03_11n	0.000	0.000	0.000
hla_a_03_12	0.000	0.000	0.000
hla_a_03_13	0.000	0.000	0.000
hla_a_03_14	0.000	0.000	0.000
hla_a_03_15	0.000	0.000	0.000
hla_a_03_16	0.000	0.000	0.000
hla_a_11_01	0.060	0.010	0.224
hla_a_11_02	0.000	0.000	0.022
hla_a_11_03	0.000	0.000	0.001
